id,name,category,manufacturer,model,key_spec,description,capacity,accuracy,standards,software,applications,images,spec_sheet
pda-8000s,Pile Driving Analyzer PDA-8000S,pile-testing,Pile Dynamics Inc.,PDA-8000S,40000 kN Capacity,Industry-standard dynamic pile testing equipment for quality assurance and bearing capacity evaluation of driven piles and drilled shafts.,Testing Range: 100 kN - 40000 kN,±2% of reading,ASTM D4945;ISO 9001:2015;EN 12699,PDI-PDA Software with real-time signal analysis,Driven pile testing;Drilled shaft testing;Foundation quality assurance;Bearing capacity evaluation,,
pit-tester,Pile Integrity Tester,pile-testing,Pile Dynamics Inc.,PIT-W,Low-strain integrity testing,Non-destructive testing equipment for evaluating pile integrity and detecting defects using stress wave reflection method.,Testing Depth: Up to 60m,±5% of pile length,ASTM D5882;ISO 9001:2015,PIT-W Analysis Software,Pile integrity testing;Defect detection;Quality control;Pre-construction verification,,
static-load-frame,Static Load Test Frame,pile-testing,Custom Engineering,SLT-5000,5000 kN Load Capacity,Heavy-duty hydraulic load testing frame for measuring actual load-settlement behavior of foundation piles.,Load Capacity: 5000 kN,±1% of applied load,ASTM D1143;ISO 22477-1,Digital acquisition system with automated logging,Static pile load testing;Settlement analysis;Bearing capacity verification;Ultimate load testing,,
rotary-drill-700m,Rotary Core Drilling Rig,drilling,Atlas Copco,CS14,700m Depth Capacity,High-performance rotary drilling rig capable of deep borehole drilling for geotechnical investigation and sampling.,Drilling Depth: Up to 700m,Core recovery: >95%,ISO 9001:2015;ASTM D2113,Hydraulic depth control system,Soil sampling;Rock coring;Borehole logging;Permeability testing;Deep foundation investigation,,
auger-drill,Continuous Flight Auger Drill,drilling,GEFCO,CFA-450,45m Depth,Versatile auger drilling equipment for soil investigation and sampling in various ground conditions.,Drilling Depth: Up to 45m,±2cm depth accuracy,ASTM D1586;ISO 9001:2015,Digital depth measurement system,Soil investigation;SPT testing;Soil sampling;Shallow foundation studies,,
triaxial-machine,Automated Triaxial Testing System,laboratory,GDS Instruments,STDTTS,1000 kN Load Cell,Fully automated triaxial testing system for determining shear strength parameters of soil specimens.,Load Capacity: 1000 kN; Confining Pressure: Up to 2000 kPa,±0.1% of reading,ASTM D2850;ASTM D4767;BS 1377,GDS Lab software with automated stress path control,Shear strength testing;Consolidated undrained tests;Drained triaxial tests;Research applications,,
cbr-apparatus,California Bearing Ratio Apparatus,laboratory,Controls Group,CBR-Plus,50 kN Capacity,Precision CBR testing equipment for evaluating subgrade and base course strength for pavement design.,Load Capacity: 50 kN; Penetration: 0-12.5mm,±0.5% load; ±0.01mm displacement,ASTM D1883;AASHTO T193,Digital control and data acquisition,Pavement design;Subgrade evaluation;Base course testing;Quality control,,
proctor-compaction,Automatic Compaction Test System,laboratory,Matest,Auto-Proctor,7 kg Rammer,Automated compaction testing system for determining optimum moisture content and maximum dry density of soils.,Rammer Weight: 7 kg; Drop Height: 450mm,±1% moisture content,ASTM D698;ASTM D1557;BS 1377,Automated drop mechanism with digital readout,Compaction control;Optimum moisture determination;Fill material testing;Earthwork QA,,
masw-system,Multi-channel Analysis of Surface Waves System,geophysical,Geometrics,Geode-24,24-Channel Seismograph,Advanced geophysical equipment for measuring shear wave velocity and creating subsurface profiles for seismic site characterization.,Frequency Range: 1-100 Hz; Channels: 24,±2% velocity measurement,ASTM D7400;ISO 9001:2015,SeisImager software with 2D/3D visualization,Seismic site classification;Shear wave velocity profiling;Liquefaction assessment;Bedrock mapping,,
ert-system,Electrical Resistivity Tomography System,geophysical,AGI,SuperSting R8,84 Electrodes,Multi-electrode resistivity imaging system for subsurface investigation and groundwater exploration.,Electrode Capacity: 84; Depth Range: Up to 500m,±1% resistivity measurement,ASTM G57;ISO 9001:2015,EarthImager 2D/3D inversion software,Groundwater mapping;Geological profiling;Contamination detection;Tunnel investigation,,
vane-shear-tester,Field Vane Shear Tester,field-testing,Geonor,H-60,200 kPa Torque,Portable in-situ testing device for measuring undrained shear strength of soft to medium cohesive soils.,Torque Range: 0-200 kPa,±2% of reading,ASTM D2573;BS 1377,Manual torque measurement with digital readout,Undrained shear strength;Soft clay testing;Embankment stability;Foundation design,,
plate-load-tester,Plate Load Test Equipment,field-testing,Humboldt,PLT-300,3000 kN Capacity,Hydraulic load testing equipment for determining bearing capacity and settlement characteristics of soil and pavement.,Load Capacity: 3000 kN; Plate Diameter: 300-750mm,±1% load; ±0.01mm settlement,ASTM D1194;ASTM D1195;IS 1888,Hydraulic pump with digital pressure gauge and dial gauges,Bearing capacity testing;Settlement analysis;Pavement evaluation;Subgrade modulus,,
