N.S. Engineering & Geo-Technical Services Pvt. Ltd. ,,,,,,,,,,,,,,,,,
"Dhobighat, Lalitpur, Nepal",,,,,,,,,,,,,,,,,
Vat No. 603565542,,,,,,,,,,,,,,,,,
"Equipments, Macine & Jinsi Purchase :-                                     ",,,,,,,,,,,,,,,,,
S. No.,Date,Department,Bill No.,Pan No.,Description,Parti's Name,Quantity,Unit, Rate , Taxable Amount , Vat 13% , Amount with Vat , Year in Use  ,Depreciation in %, Depreciation , Depreciated Value , Remarks 
1,2072.10.07,Soil and Aggregate,613,302405295,CBR Laas frame with 1 each accessories -1 Set,Bagmati Enterprises,1,Set,," 145,000.00 "," 18,850.00 "," 163,850.00 ",,, -   ," 163,850.00 ",
2,2072.10.07,Soil and Aggregate,613,302405295,CBR Moulds - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
3,2072.10.07,Soil and Aggregate,613,302405295,EBL Proving ring - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
4,2072.10.07,Soil and Aggregate,613,302405295,CBR Dial Gauge - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
5,2072.10.07,Soil and Aggregate,613,302405295,CBR Colar cutter - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
6,2072.10.07,Soil and Aggregate,613,302405295,CBR Piston - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
7,2072.10.07,Soil and Aggregate,613,302405295,CBR Weight 5 Kg. -1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
8,2072.10.07,Soil and Aggregate,613,302405295,CBR Rammer 4.89 - 1 Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
9,2072.10.07,Soil and Aggregate,613,302405295,CBR Surching Weight (S) - 1Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
10,2072.10.07,Soil and Aggregate,613,302405295,CBR Surching Weight (R) - 1Nos,Bagmati Enterprises,1,Nos,,,,,,, -   , -   ,
11,2072.10.07,Soil and Aggregate,613,302405295,CBR Moulds -  3 Nos,Bagmati Enterprises,3,Nos," 3,300.00 "," 9,900.00 "," 1,287.00 "," 11,187.00 ",,, -   ," 11,187.00 ",
12,2072.10.07,Soil and Aggregate,613,302405295,CBR soil (Tripoid),Bagmati Enterprises,3,Nos, 900.00 ," 2,700.00 ", 351.00 ," 3,051.00 ",,, -   ," 3,051.00 ",
13,2072.10.07,Soil and Aggregate,613,302405295,CBR Soil Plate with handle,Bagmati Enterprises,3,Nos," 1,950.00 "," 5,850.00 ", 760.50 ," 6,610.50 ",,, -   ," 6,610.50 ",
14,2072.10.07,Soil and Aggregate,613,302405295,CBR Weight Rounded,Bagmati Enterprises,3,Nos, 825.00 ," 2,475.00 ", 321.75 ," 2,796.75 ",,, -   ," 2,796.75 ",
15,2072.10.07,Soil and Aggregate,613,302405295,CBR Weight Slutted,Bagmati Enterprises,3,Nos, 825.00 ," 2,475.00 ", 321.75 ," 2,796.75 ",,, -   ," 2,796.75 ",
16,2072.10.07,Soil and Aggregate,613,302405295,CBR Filter Paper,Bagmati Enterprises,1,Pkt, 375.00 , 375.00 , 48.75 , 423.75 ,,, -   , 423.75 ,
17,2072.10.08,Soil and Aggregate,194,304466816,"Kailaso 18"" Oven",Total Scientific Surveying Technology Traders,1,Set," 23,000.00 "," 23,000.00 "," 2,990.00 "," 25,990.00 ",,, -   ," 25,990.00 ",
18,2072.11.02,Soil Investigation,25,303052353,25 mtr. Capacity Parkausan Machine  ,OM Metal Engineering workshop Pvt. Ltd.,1,Set," 200,000.00 "," 200,000.00 "," 26,000.00 "," 226,000.00 ",,, -   ," 226,000.00 ",Fully Damaged
19,2072.11.05,Soil Investigation,26,303052353,35 mtr. Capacity Rotary Ring,OM Metal Engineering workshop Pvt. Ltd.,1,Set," 400,000.00 "," 400,000.00 "," 52,000.00 "," 452,000.00 ",,, -   ," 452,000.00 ",Fully Damaged
20,2072.12.16,Soil and Aggregate,1012,302405295,Direct Shear for (Poras Stones),Bagmati Enterprises,2,Nos, 800.00 ," 1,600.00 ", 208.00 ," 1,808.00 ",,, -   ," 1,808.00 ",
21,2072.12.29,Chemical,168,300048584,Hydrometer,Sako Engineering & Technical Trading Pvt. Ltd.,2,Pcs," 1,160.00 "," 2,320.00 ", 301.60 ," 2,621.60 ",,, -   ," 2,621.60 ",
22,2072.12.29,Chemical,168,300048584,Vol Flask 1000 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,7,Pcs," 2,224.00 "," 15,568.00 "," 2,023.84 "," 17,591.84 ",,, -   ," 17,591.84 ",
23,2072.12.29,Chemical,168,300048584,Vol Flask 500 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,7,Pcs, 632.00 ," 4,424.00 ", 575.12 ," 4,999.12 ",,, -   ," 4,999.12 ",
24,2072.12.29,Chemical,168,300048584,Vol Flask 250 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,2,Pcs, 472.00 , 944.00 , 122.72 ," 1,066.72 ",,, -   ," 1,066.72 ",
25,2072.12.29,Chemical,168,300048584,Pychometer 1000 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,4,Pcs," 1,100.00 "," 4,400.00 ", 572.00 ," 4,972.00 ",,, -   ," 4,972.00 ",
26,2072.12.29,Chemical,168,300048584,Pychometer 500 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,7,Pcs," 1,000.00 "," 7,000.00 ", 910.00 ," 7,910.00 ",,, -   ," 7,910.00 ",
27,2072.12.29,Chemical,168,300048584,Pychometer 250 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,2,Pcs," 1,000.00 "," 2,000.00 ", 260.00 ," 2,260.00 ",,, -   ," 2,260.00 ",
28,2072.12.29,Chemical,168,300048584,Measuring Cylinder 1000 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,4,Pcs," 2,126.00 "," 8,504.00 "," 1,105.52 "," 9,609.52 ",,, -   ," 9,609.52 ",
29,2072.12.29,Chemical,168,300048584,Measuring Cylinder 500 ml.,Sako Engineering & Technical Trading Pvt. Ltd.,5,Pcs," 1,070.00 "," 5,350.00 ", 695.50 ," 6,045.50 ",,, -   ," 6,045.50 ",
